date,Fed_monthly
2016-04-09 00:00:00,-9.090909091
2016-04-10 00:00:00,70
2016-04-11 00:00:00,0
2016-04-12 00:00:00,1.960784314
2016-04-13 00:00:00,-5.769230769
2016-04-14 00:00:00,14.28571429
2016-04-15 00:00:00,30.35714286
2016-04-16 00:00:00,36.98630137
2016-04-17 00:00:00,-45
2016-04-18 00:00:00,-9.090909091
2016-04-19 00:00:00,-8
2016-04-20 00:00:00,-4.347826087
2016-04-21 00:00:00,-9.090909091
2016-04-22 00:00:00,-25
2016-04-23 00:00:00,-6.666666667
2016-04-24 00:00:00,67.85714286
2016-04-25 00:00:00,6.382978723
2016-04-26 00:00:00,28
2016-04-27 00:00:00,-29.6875
2016-04-28 00:00:00,2.222222222
2016-04-29 00:00:00,-28.26086957
2016-04-30 00:00:00,47.61904762
2016-05-01 00:00:00,47.61904762
2016-05-02 00:00:00,9.677419355
2016-05-03 00:00:00,-1.470588235
2016-05-04 00:00:00,-2.985074627
2016-05-05 00:00:00,-3.076923077
2016-05-06 00:00:00,-33.33333333
2016-05-07 00:00:00,-9.523809524
2016-05-08 00:00:00,71.05263158
2016-05-09 00:00:00,3.076923077
2016-05-10 00:00:00,-11.94029851
2016-05-11 00:00:00,1.694915254
2016-05-12 00:00:00,-3.333333333
2016-05-13 00:00:00,-27.5862069
2016-05-14 00:00:00,-14.28571429
2016-05-15 00:00:00,66.66666667
2016-05-16 00:00:00,0
2016-05-17 00:00:00,30
2016-05-18 00:00:00,-7.692307692
2016-05-19 00:00:00,-8.333333333
2016-05-20 00:00:00,-28.78787879
2016-05-21 00:00:00,-14.89361702
2016-05-22 00:00:00,65
2016-05-23 00:00:00,6.060606061
2016-05-24 00:00:00,-2.857142857
2016-05-25 00:00:00,-5.882352941
2016-05-26 00:00:00,14.0625
2016-05-27 00:00:00,-38.35616438
2016-05-28 00:00:00,-13.33333333
2016-05-29 00:00:00,5.128205128
2016-05-30 00:00:00,43.90243902
2016-05-31 00:00:00,0
